date,close,volume,open,high,low
07/02/2026,$166.11,"10,493,200",$163.00,$167.21,$162.00
07/01/2026,$163.23,"14,164,640",$162.22,$165.81,$161.20
06/30/2026,$156.66,"13,690,520",$155.09,$157.69,$154.07
06/29/2026,$157.93,"12,664,070",$160.27,$161.76,$157.70
06/26/2026,$158.37,"21,267,940",$151.49,$158.46,$151.49
06/25/2026,$150.19,"11,334,730",$150.01,$154.00,$148.78
06/24/2026,$152.76,"13,146,830",$151.81,$157.06,$150.40
06/23/2026,$153.42,"20,720,690",$151.65,$155.18,$150.85
06/22/2026,$150.12,"20,502,830",$150.16,$153.87,$146.32
06/18/2026,$151.78,"57,940,830",$152.73,$154.47,$149.80
06/17/2026,$155.02,"19,986,160",$160.25,$161.4274,$154.23
06/16/2026,$161.71,"16,385,310",$164.055,$166.30,$160.50
06/15/2026,$164.55,"13,541,810",$166.03,$169.9458,$164.17
06/12/2026,$165.89,"13,589,400",$164.74,$166.54,$161.40
06/11/2026,$166.45,"16,666,030",$168.27,$168.98,$163.31
06/10/2026,$170.92,"10,820,540",$170.60,$175.53,$170.03
06/09/2026,$175.35,"15,427,790",$179.50,$182.46,$171.56
06/08/2026,$182.55,"11,177,770",$183.91,$185.02,$181.71
06/05/2026,$185.66,"13,183,930",$189.80,$192.51,$184.83
06/04/2026,$188.75,"14,453,550",$197.81,$198.09,$186.11
06/03/2026,$190.61,"14,154,390",$197.27,$197.68,$189.73
06/02/2026,$200.84,"19,216,630",$201.02,$204.39,$195.76
06/01/2026,$209.60,"27,594,800",$198.75,$211.34,$198.21
05/29/2026,$191.10,"33,998,870",$180.24,$194.1448,$180.02
05/28/2026,$176.17,"22,559,430",$178.43,$182.48,$171.65
05/27/2026,$177.51,"18,524,940",$178.00,$183.92,$176.89
05/26/2026,$179.08,"13,617,240",$178.43,$182.3599,$177.6812
05/22/2026,$180.07,"10,184,790",$179.84,$183.35,$177.6801
05/21/2026,$176.31,"10,949,100",$175.38,$177.34,$171.99
05/20/2026,$180.10,"13,025,260",$176.04,$180.31,$173.34
05/19/2026,$179.42,"17,510,820",$185.00,$187.44,$178.81
05/18/2026,$179.48,"13,671,180",$172.89,$180.78,$171.80
05/15/2026,$173.51,"13,883,380",$169.25,$175.97,$169.00
05/14/2026,$167.58,"9,749,385",$166.00,$169.3476,$164.3275
05/13/2026,$165.84,"11,951,930",$169.78,$169.78,$164.75
05/12/2026,$171.31,"10,214,010",$177.575,$177.575,$170.58
05/11/2026,$177.49,"11,145,020",$179.905,$182.50,$176.31
05/08/2026,$181.82,"15,123,890",$179.68,$181.8718,$176.88
05/07/2026,$186.34,"13,955,120",$184.60,$188.58,$184.00
05/06/2026,$181.19,"11,303,440",$185.52,$187.10,$179.58
05/05/2026,$186.99,"9,740,802",$185.55,$187.39,$181.10
05/04/2026,$185.48,"8,444,726",$184.24,$190.31,$183.97
05/01/2026,$183.82,"12,324,380",$182.185,$186.04,$178.75
04/30/2026,$176.53,"14,408,280",$178.30,$178.6934,$173.00
04/29/2026,$181.22,"6,882,845",$179.20,$181.7835,$177.35
04/28/2026,$181.32,"8,711,743",$182.43,$184.42,$181.32
04/27/2026,$180.18,"11,906,970",$178.26,$184.29,$177.51
04/24/2026,$178.16,"10,817,610",$175.62,$178.45,$174.40
04/23/2026,$173.30,"22,719,940",$177.56,$178.87,$170.65
04/22/2026,$189.80,"14,565,950",$188.20,$191.15,$187.03
04/21/2026,$187.11,"12,073,660",$186.60,$193.56,$184.1001
04/20/2026,$186.27,"14,382,260",$182.50,$189.00,$182.122
04/17/2026,$182.14,"17,225,680",$185.43,$187.98,$181.03
04/16/2026,$181.22,"11,866,660",$184.00,$184.55,$178.57
04/15/2026,$177.60,"14,340,260",$174.22,$179.62,$172.88
04/14/2026,$171.31,"13,123,640",$175.21,$177.50,$170.50
04/13/2026,$172.82,"12,390,750",$167.05,$173.40,$165.77
04/10/2026,$164.96,"18,109,340",$171.26,$171.26,$163.52
04/09/2026,$170.85,"20,855,390",$173.17,$174.29,$167.12
04/08/2026,$176.37,"13,472,050",$186.50,$186.77,$175.78
04/07/2026,$182.96,"12,344,590",$184.95,$186.58,$182.017
04/06/2026,$185.03,"14,390,960",$187.50,$188.14,$183.6001
04/02/2026,$187.18,"11,635,450",$185.30,$187.58,$181.575
04/01/2026,$186.24,"11,677,680",$186.85,$188.98,$183.01
03/31/2026,$186.67,"11,041,380",$184.90,$188.50,$182.31
03/30/2026,$185.03,"11,617,720",$180.10,$186.39,$179.58
03/27/2026,$179.31,"9,901,975",$184.00,$184.11,$178.816
03/26/2026,$185.64,"10,330,720",$181.18,$187.47,$179.53
03/25/2026,$181.96,"12,565,190",$185.70,$187.385,$179.85
03/24/2026,$183.02,"18,631,390",$192.14,$192.14,$182.29
03/23/2026,$195.18,"13,976,240",$197.09,$198.05,$192.00
03/20/2026,$195.38,"20,201,080",$193.21,$195.6699,$190.00
03/19/2026,$194.99,"9,254,295",$195.59,$200.395,$193.30
03/18/2026,$194.34,"10,525,100",$193.40,$196.15,$192.64
03/17/2026,$195.31,"11,559,320",$198.22,$202.38,$194.45
03/16/2026,$198.34,"13,419,640",$195.15,$198.63,$195.15
03/13/2026,$192.83,"14,834,720",$199.73,$200.9999,$191.75
03/12/2026,$199.28,"26,309,730",$194.13,$204.855,$193.15
03/11/2026,$194.13,"9,580,004",$196.40,$199.55,$191.2876
03/10/2026,$194.91,"14,467,400",$197.26,$199.57,$190.60
03/09/2026,$198.79,"10,754,800",$198.56,$203.67,$195.87
03/06/2026,$202.11,"9,657,395",$200.79,$202.96,$197.37
03/05/2026,$201.39,"15,860,910",$194.36,$204.42,$194.24
03/04/2026,$193.08,"11,583,730",$195.10,$196.47,$192.10
03/03/2026,$196.05,"13,208,920",$190.75,$198.67,$189.58
03/02/2026,$192.95,"9,932,748",$192.50,$195.94,$190.675
02/27/2026,$194.79,"16,346,540",$191.91,$195.92,$189.9248
02/26/2026,$199.47,"26,680,490",$196.76,$201.035,$191.33
02/25/2026,$191.75,"21,875,070",$183.00,$192.60,$182.261
02/24/2026,$185.42,"15,564,730",$177.64,$188.67,$176.28
02/23/2026,$178.16,"15,498,630",$181.27,$182.47,$174.57
02/20/2026,$185.16,"10,816,220",$185.32,$191.73,$183.73
02/19/2026,$185.29,"9,565,134",$186.60,$186.95,$183.23
02/18/2026,$187.79,"9,852,893",$183.88,$188.14,$181.8645
02/17/2026,$184.29,"13,692,930",$190.97,$193.00,$183.17
02/13/2026,$189.72,"14,822,880",$186.44,$193.45,$184.30
02/12/2026,$185.43,"16,849,110",$185.96,$188.32,$180.24
02/11/2026,$185.00,"16,350,190",$193.15,$193.665,$181.81
02/10/2026,$193.45,"13,392,990",$191.90,$199.10,$190.75
02/09/2026,$194.03,"12,112,030",$189.30,$195.1999,$185.73
02/06/2026,$191.35,"13,652,620",$191.63,$194.60,$187.1201
02/05/2026,$189.97,"21,956,300",$193.99,$199.56,$188.79
02/04/2026,$199.44,"23,009,970",$193.31,$200.674,$187.28
02/03/2026,$196.38,"20,194,180",$205.00,$205.555,$193.11
02/02/2026,$210.81,"7,950,855",$214.35,$216.89,$209.80
01/30/2026,$212.29,"11,090,430",$214.16,$215.55,$211.03
01/29/2026,$214.08,"18,555,570",$216.67,$217.28,$208.78
01/28/2026,$227.96,"8,465,904",$229.39,$231.86,$227.67
01/27/2026,$228.53,"9,838,362",$231.94,$235.74,$226.27
01/26/2026,$229.40,"7,239,632",$229.43,$230.949,$227.585
01/23/2026,$228.05,"9,408,048",$226.78,$230.85,$226.65
01/22/2026,$228.09,"9,482,971",$222.24,$228.72,$221.11
01/21/2026,$221.58,"12,616,560",$220.15,$223.39,$218.9633
01/20/2026,$220.07,"13,050,760",$223.54,$227.9399,$219.355
01/16/2026,$227.11,"13,902,610",$232.95,$232.95,$226.44
01/15/2026,$233.53,"11,489,590",$237.02,$238.84,$231.67
01/14/2026,$239.57,"10,149,310",$239.18,$242.24,$236.46
01/13/2026,$241.06,"13,660,960",$257.66,$260.91,$240.355
01/12/2026,$259.40,"4,927,734",$259.00,$261.559,$255.77
01/09/2026,$259.94,"5,174,372",$260.00,$261.025,$256.509
01/08/2026,$260.53,"5,243,453",$264.40,$265.2024,$260.41
01/07/2026,$266.12,"5,976,201",$263.50,$267.825,$263.50
01/06/2026,$262.90,"6,103,321",$255.20,$263.55,$255.00
01/05/2026,$256.26,"6,421,470",$253.62,$259.59,$252.3062
01/02/2026,$253.62,"9,680,584",$265.00,$265.38,$252.48
12/31/2025,$264.91,"3,367,930",$265.29,$266.10,$264.391
12/30/2025,$265.92,"3,291,837",$266.66,$268.28,$265.33
12/29/2025,$266.23,"4,300,077",$264.71,$269.11,$264.71
12/26/2025,$266.08,"2,456,402",$264.80,$267.91,$264.80
12/24/2025,$265.26,"2,076,637",$263.23,$266.30,$262.55
12/23/2025,$263.43,"4,745,113",$262.715,$264.24,$260.52
12/22/2025,$264.63,"5,664,201",$260.62,$264.63,$258.405
