date,close,volume,open,high,low
07/02/2026,$273.36,"5,660,833",$281.53,$285.94,$267.55
07/01/2026,$279.18,"5,001,301",$275.83,$283.32,$273.31
06/30/2026,$281.03,"4,560,854",$277.19,$283.37,$275.80
06/29/2026,$278.37,"3,670,746",$277.00,$280.03,$268.85
06/26/2026,$277.02,"7,173,695",$289.17,$291.34,$275.18
06/25/2026,$298.64,"3,459,752",$302.89,$307.38,$291.69
06/24/2026,$294.06,"3,849,945",$299.06,$299.90,$288.64
06/23/2026,$299.94,"6,167,763",$307.555,$310.36,$296.04
06/22/2026,$323.24,"4,074,005",$320.36,$327.50,$316.00
06/18/2026,$313.27,"7,969,279",$309.44,$319.70,$306.0598
06/17/2026,$298.20,"2,918,178",$309.03,$310.80,$297.76
06/16/2026,$302.89,"4,491,062",$311.90,$319.29,$302.75
06/15/2026,$315.88,"3,544,105",$315.57,$320.97,$313.51
06/12/2026,$304.86,"2,127,104",$302.25,$307.22,$298.12
06/11/2026,$302.55,"5,124,040",$291.54,$303.299,$288.39
06/10/2026,$285.56,"4,335,701",$291.53,$299.42,$284.18
06/09/2026,$297.41,"5,081,840",$308.69,$310.22,$279.36
06/08/2026,$301.14,"5,607,111",$307.79,$309.6002,$298.05
06/05/2026,$295.96,"8,438,112",$312.51,$314.235,$295.89
06/04/2026,$322.22,"3,249,416",$321.715,$328.21,$315.01
06/03/2026,$321.88,"2,844,708",$322.30,$327.48,$318.71
06/02/2026,$323.62,"3,871,333",$320.09,$325.585,$317.00
06/01/2026,$311.38,"2,880,979",$315.00,$318.545,$305.63
05/29/2026,$321.35,"3,773,450",$333.58,$335.00,$320.30
05/28/2026,$330.28,"3,216,642",$330.46,$338.29,$324.85
05/27/2026,$329.24,"3,806,814",$337.08,$339.95,$326.60
05/26/2026,$332.67,"4,619,648",$320.29,$334.90,$318.00
05/22/2026,$316.47,"2,948,747",$300.80,$316.81,$300.6201
05/21/2026,$299.38,"3,492,789",$308.50,$309.37,$297.48
05/20/2026,$310.15,"4,261,861",$298.00,$311.04,$294.61
05/19/2026,$294.28,"2,904,757",$285.68,$298.63,$285.68
05/18/2026,$291.68,"3,457,054",$298.005,$298.86,$287.355
05/15/2026,$291.50,"3,390,617",$287.605,$295.27,$284.78
05/14/2026,$294.17,"2,172,470",$298.02,$300.00,$291.265
05/13/2026,$298.41,"3,250,433",$300.02,$302.41,$293.24
05/12/2026,$294.23,"4,790,602",$300.68,$302.00,$291.0101
05/11/2026,$305.99,"4,975,633",$295.92,$306.62,$291.16
05/08/2026,$294.75,"6,908,850",$295.40,$297.00,$290.24
05/07/2026,$290.22,"4,957,326",$300.99,$302.99,$288.48
05/06/2026,$303.55,"4,488,515",$291.555,$303.91,$291.205
05/05/2026,$292.35,"4,332,865",$292.00,$296.39,$289.76
05/04/2026,$290.76,"2,675,225",$297.75,$299.80,$288.285
05/01/2026,$295.24,"2,830,159",$291.60,$296.00,$285.51
04/30/2026,$293.59,"5,079,934",$289.44,$294.34,$279.77
04/29/2026,$289.25,"10,710,630",$281.41,$292.85,$278.07
04/28/2026,$230.39,"4,731,163",$232.89,$237.94,$228.4101
04/27/2026,$236.87,"4,010,614",$242.325,$243.55,$232.41
04/24/2026,$244.04,"3,579,369",$244.34,$245.20,$240.66
04/23/2026,$241.16,"4,580,376",$234.03,$244.72,$231.00
04/22/2026,$225.75,"2,567,324",$228.50,$228.94,$224.79
04/21/2026,$224.50,"3,362,573",$222.47,$226.61,$221.695
04/20/2026,$221.34,"2,568,244",$215.01,$221.40,$213.595
04/17/2026,$216.03,"4,289,740",$215.77,$218.96,$210.27
04/16/2026,$213.73,"2,715,724",$209.48,$215.56,$209.48
04/15/2026,$209.39,"1,542,642",$210.26,$210.76,$206.54
04/14/2026,$209.89,"2,547,814",$210.00,$210.51,$207.09
04/13/2026,$208.00,"2,372,841",$201.28,$208.13,$199.01
04/10/2026,$204.37,"2,420,626",$207.31,$209.97,$203.40
04/09/2026,$205.67,"2,706,657",$204.035,$206.71,$202.735
04/08/2026,$204.27,"3,851,965",$205.95,$208.67,$201.4831
04/07/2026,$195.12,"2,352,937",$196.12,$196.88,$191.955
04/06/2026,$197.08,"2,152,482",$196.41,$200.68,$194.505
04/02/2026,$194.55,"2,486,985",$190.23,$195.25,$188.75
04/01/2026,$195.58,"3,403,690",$197.44,$199.66,$195.13
03/31/2026,$196.86,"4,560,430",$191.39,$198.06,$190.34
03/30/2026,$187.39,"3,581,882",$193.45,$194.22,$184.68
03/27/2026,$191.66,"2,037,849",$195.98,$196.13,$190.35
03/26/2026,$196.92,"3,635,265",$196.63,$199.76,$195.00
03/25/2026,$197.61,"1,601,969",$199.20,$202.00,$195.98
03/24/2026,$196.40,"1,693,919",$190.64,$198.50,$190.36
03/23/2026,$193.39,"2,325,236",$198.27,$198.91,$193.30
03/20/2026,$191.37,"4,212,031",$192.39,$194.53,$188.83
03/19/2026,$192.35,"2,107,643",$189.25,$193.92,$188.68
03/18/2026,$192.69,"2,178,812",$193.88,$196.14,$191.95
03/17/2026,$194.02,"1,578,888",$193.88,$197.24,$192.93
03/16/2026,$191.89,"2,826,663",$194.58,$195.98,$191.25
03/13/2026,$190.86,"2,882,727",$193.66,$195.50,$190.16
03/12/2026,$191.22,"3,420,140",$196.15,$198.23,$190.17
03/11/2026,$199.87,"2,483,363",$204.76,$207.00,$198.00
03/10/2026,$203.03,"2,525,924",$204.21,$208.36,$201.86
03/09/2026,$205.25,"3,696,843",$200.15,$206.25,$193.02
03/06/2026,$201.74,"3,105,279",$202.56,$205.67,$201.11
03/05/2026,$210.58,"3,310,185",$214.79,$215.76,$207.79
03/04/2026,$216.37,"2,372,355",$217.89,$218.98,$215.145
03/03/2026,$215.25,"3,168,756",$218.48,$219.57,$213.19
03/02/2026,$224.76,"1,667,586",$221.83,$225.30,$218.21
02/27/2026,$227.01,"2,951,903",$229.06,$229.93,$223.85
02/26/2026,$232.23,"3,069,000",$235.77,$236.80,$228.07
02/25/2026,$235.07,"1,597,901",$236.53,$237.275,$232.775
02/24/2026,$234.63,"1,976,129",$232.11,$239.30,$232.105
02/23/2026,$231.16,"1,703,616",$231.83,$233.49,$225.30
02/20/2026,$232.27,"2,120,205",$229.90,$235.33,$229.03
02/19/2026,$232.11,"2,451,950",$235.27,$238.65,$229.7328
02/18/2026,$237.33,"2,885,466",$248.08,$249.225,$235.46
02/17/2026,$245.09,"1,727,925",$244.06,$246.535,$237.92
02/13/2026,$244.43,"2,012,775",$239.95,$244.61,$237.695
02/12/2026,$242.19,"3,628,617",$252.17,$256.36,$239.52
02/11/2026,$249.75,"4,863,389",$240.83,$250.855,$239.24
02/10/2026,$236.62,"3,013,390",$227.61,$239.495,$227.29
02/09/2026,$228.91,"2,606,848",$221.41,$229.265,$221.30
02/06/2026,$224.32,"4,588,362",$224.77,$226.43,$220.10
02/05/2026,$222.13,"2,760,230",$224.59,$229.02,$219.61
02/04/2026,$226.86,"5,830,699",$219.45,$228.47,$217.66
02/03/2026,$220.66,"8,724,530",$219.765,$221.51,$207.01
02/02/2026,$231.08,"3,698,406",$224.55,$234.09,$224.45
01/30/2026,$226.14,"3,542,719",$229.00,$231.6761,$224.87
01/29/2026,$233.50,"2,872,832",$239.83,$240.00,$226.3901
01/28/2026,$240.03,"2,943,702",$233.705,$242.93,$233.01
01/27/2026,$229.42,"3,202,512",$231.83,$234.205,$229.24
01/26/2026,$231.05,"2,045,068",$232.34,$234.275,$229.89
01/23/2026,$232.475,"3,257,988",$236.62,$236.62,$229.065
01/22/2026,$236.75,"2,012,386",$238.13,$241.10,$235.22
01/21/2026,$233.72,"3,497,413",$234.66,$237.00,$229.66
01/20/2026,$230.70,"2,425,486",$231.00,$234.82,$228.76
01/16/2026,$237.11,"2,676,721",$241.55,$242.105,$236.89
01/15/2026,$238.60,"2,314,378",$242.39,$243.46,$236.55
01/14/2026,$240.81,"1,986,848",$236.615,$240.91,$235.33
01/13/2026,$239.09,"1,748,868",$238.33,$240.31,$237.20
01/12/2026,$238.33,"2,333,244",$238.23,$240.3999,$235.69
01/09/2026,$241.15,"2,732,475",$237.36,$242.88,$236.40
01/08/2026,$237.89,"2,168,202",$236.31,$239.43,$231.84
01/07/2026,$239.34,"2,798,289",$241.61,$244.30,$236.17
01/06/2026,$245.95,"4,418,017",$228.30,$246.89,$228.30
01/05/2026,$223.88,"2,856,273",$221.85,$230.42,$221.85
01/02/2026,$221.28,"2,896,439",$220.605,$223.605,$219.44
12/31/2025,$217.06,"1,413,047",$219.62,$220.34,$216.88
12/30/2025,$219.98,"1,746,342",$221.17,$223.39,$219.78
12/29/2025,$220.46,"2,498,446",$222.46,$224.105,$219.135
12/26/2025,$222.87,"1,439,742",$225.64,$225.64,$222.75
12/24/2025,$225.26,"1,030,963",$226.47,$228.43,$224.58
12/23/2025,$225.98,"1,871,560",$226.67,$227.90,$224.50
12/22/2025,$228.94,"1,801,157",$229.74,$231.95,$227.53
12/19/2025,$226.27,"10,501,680",$224.28,$229.12,$224.01
12/18/2025,$222.08,"2,665,352",$227.27,$228.60,$222.03
12/17/2025,$223.23,"2,685,389",$230.32,$231.83,$223.03
12/16/2025,$229.75,"2,467,157",$232.17,$233.00,$227.96
12/15/2025,$231.83,"3,077,145",$230.78,$233.79,$228.285
12/12/2025,$228.16,"3,590,950",$232.17,$234.93,$227.41
12/11/2025,$231.83,"2,350,008",$229.29,$232.91,$227.98
12/10/2025,$230.78,"2,155,296",$227.56,$232.59,$225.46
12/09/2025,$228.05,"1,845,927",$227.27,$230.61,$227.04
12/08/2025,$229.01,"2,839,972",$229.63,$232.66,$227.26
12/05/2025,$227.95,"2,208,907",$228.86,$231.00,$227.83
12/04/2025,$226.16,"3,614,786",$226.78,$228.28,$224.07
12/03/2025,$227.56,"4,594,132",$217.84,$228.80,$215.1601
12/02/2025,$215.35,"6,160,036",$200.53,$217.49,$199.49
12/01/2025,$199.49,"3,394,003",$191.67,$200.19,$191.29
11/28/2025,$194.94,"1,654,132",$193.90,$195.30,$193.37
11/26/2025,$193.76,"2,836,051",$191.79,$195.72,$191.24
11/25/2025,$191.02,"3,214,026",$190.47,$193.95,$188.425
11/24/2025,$191.56,"4,513,741",$192.25,$193.68,$190.23
11/21/2025,$191.35,"3,403,063",$184.65,$193.83,$183.20
11/20/2025,$184.19,"3,426,844",$192.17,$194.17,$183.00
11/19/2025,$190.06,"2,969,245",$189.44,$191.37,$188.3601
11/18/2025,$188.59,"2,777,217",$189.845,$190.85,$187.74
11/17/2025,$190.51,"2,498,886",$195.18,$196.65,$188.49
11/14/2025,$197.10,"2,111,051",$198.83,$199.81,$196.18
11/13/2025,$201.22,"2,528,613",$202.92,$204.74,$199.02
11/12/2025,$204.08,"2,046,299",$204.97,$206.95,$203.45
11/11/2025,$202.86,"1,735,408",$204.05,$206.05,$202.09
11/10/2025,$205.13,"2,160,621",$207.94,$208.50,$202.16
11/07/2025,$204.56,"2,586,456",$204.42,$204.75,$198.50
11/06/2025,$206.45,"2,037,842",$209.13,$210.37,$204.69
11/05/2025,$210.44,"2,307,041",$205.17,$213.09,$205.04
11/04/2025,$204.42,"2,904,757",$208.47,$209.96,$203.93
11/03/2025,$210.39,"1,982,860",$211.07,$212.78,$207.94
10/31/2025,$209.12,"2,506,419",$206.38,$212.2195,$205.195
10/30/2025,$206.38,"3,417,113",$204.65,$209.70,$203.38
10/29/2025,$204.71,"5,104,821",$212.28,$213.02,$202.475
10/28/2025,$212.96,"4,414,713",$218.16,$220.4325,$207.99
10/27/2025,$221.56,"4,076,069",$221.39,$221.89,$218.885
10/24/2025,$219.16,"2,500,773",$223.96,$223.96,$218.12
10/23/2025,$220.73,"2,517,902",$213.00,$221.40,$212.725
10/22/2025,$217.16,"3,607,824",$217.07,$223.28,$215.00
10/21/2025,$222.34,"1,935,550",$219.34,$224.27,$218.51
10/20/2025,$219.82,"2,374,840",$216.72,$222.225,$215.60
10/17/2025,$214.35,"1,950,502",$216.715,$218.05,$212.88
10/16/2025,$217.41,"2,477,662",$219.37,$220.17,$213.105
10/15/2025,$217.23,"1,939,707",$219.76,$220.00,$214.02
10/14/2025,$216.11,"2,341,774",$211.68,$219.69,$210.80
10/13/2025,$216.70,"2,806,592",$211.61,$217.40,$210.74
10/10/2025,$205.37,"3,980,761",$221.07,$222.67,$205.14
10/09/2025,$221.42,"2,615,953",$223.31,$225.76,$218.9775
10/08/2025,$225.64,"2,631,196",$219.89,$227.19,$219.50
10/07/2025,$219.58,"2,492,875",$232.55,$232.99,$219.16
10/06/2025,$231.42,"1,949,575",$232.06,$233.9999,$227.095
10/03/2025,$228.89,"1,537,435",$228.40,$232.065,$227.99
10/02/2025,$227.705,"1,831,499",$226.00,$230.86,$225.01
10/01/2025,$224.91,"2,079,847",$225.85,$227.85,$221.00
09/30/2025,$227.73,"1,723,558",$225.56,$227.95,$222.875
09/29/2025,$226.11,"1,352,177",$227.87,$227.955,$224.63
